Team,Opponent,Home/Away,Possession,Fouls,Yellow Cards,Red Cards,Passes,Shots,On Target,Goals,Allowed,Result,Team SPI,Opponent SPI,SPI Difference,Team xG,Opponent xG,Team nsxG,Opponent nsxG,Total Generated,Total Conceded
Crystal Palace,Brentford,Home,49.3,11,1,0,467,13,4,1,1,D,72.21,68.71,3.5,0.67,1.74,0.72,1.61,1.39,3.35
Brentford,Crystal Palace,Away,50.7,8,2,0,470,9,3,1,1,D,68.71,72.21,-3.5,1.74,0.67,1.61,0.72,3.35,1.39
Fulham,Brighton,Home,39.6,9,2,0,345,10,3,2,1,W,61.65,75.83,-14.18,0.87,1.74,0.71,0.94,1.58,2.68
Brighton,Fulham,Away,60.4,11,1,0,525,7,4,1,2,L,75.83,61.65,14.18,1.74,0.87,0.94,0.71,2.68,1.58
Southampton,Chelsea,Home,32.3,15,2,0,254,9,7,2,1,W,62.31,82.74,-20.43,1.44,1.46,0.92,1.33,2.36,2.79
Chelsea,Southampton,Away,67.7,10,1,0,547,10,4,1,2,L,82.74,62.31,20.43,1.46,1.44,1.33,0.92,2.79,2.36
Leeds,Everton,Home,69.6,10,3,0,637,14,5,1,1,D,64.87,63.27,1.6,1.23,0.82,1.43,0.43,2.66,1.25
Everton,Leeds,Away,30.4,9,3,0,282,7,2,1,1,D,63.27,64.87,-1.6,0.82,1.23,0.43,1.43,1.25,2.66
Bournemouth,Wolves,Home,34,12,2,0,316,5,2,0,0,D,54.75,66.89,-12.14,0.37,1.63,0.95,2.23,1.32,3.86
Wolves,Bournemouth,Away,66,12,1,0,594,17,4,0,0,D,66.89,54.75,12.14,1.63,0.37,2.23,0.95,3.86,1.32
Manchester City,Nottingham,Home,75.4,9,0,0,776,17,9,6,0,W,92.1,56.56,35.54,3.59,0.85,2.11,0.59,5.7,1.44
Nottingham,Manchester City,Away,24.6,7,1,0,250,8,1,0,6,L,56.56,92.1,-35.54,0.85,3.59,0.59,2.11,1.44,5.7
Arsenal,Aston Villa,Home,59.6,10,2,0,504,22,9,2,1,W,80.63,71.11,9.52,2.93,0.27,2.37,0.39,5.3,0.66
Aston Villa,Arsenal,Away,40.4,14,3,0,341,4,3,1,2,L,71.11,80.63,-9.52,0.27,2.93,0.39,2.37,0.66,5.3
West Ham,Spurs,Home,38.2,10,2,0,366,14,4,1,1,D,69.66,81.93,-12.27,1.3,0.72,0.68,0.92,1.98,1.64
Spurs,West Ham,Away,61.8,9,5,0,619,13,4,1,1,D,81.93,69.66,12.27,0.72,1.3,0.92,0.68,1.64,1.98
